Model: VGG-Face_euclidean_mediapipe_align_False_0, Target: park, Image Count: 0
Model: VGG-Face_euclidean_mediapipe_align_False_0, Target: you, Image Count: 0
Model: VGG-Face_euclidean_mediapipe_align_False_0, Target: tak, Image Count: 0
Model: VGG-Face_cosine_retinaface_align_False_48, Target: deffcon, Image Count: 1
Model: VGG-Face_cosine_retinaface_align_False_48, Target: park, Image Count: 13
Model: VGG-Face_cosine_retinaface_align_False_48, Target: you, Image Count: 19
Model: VGG-Face_cosine_retinaface_align_False_48, Target: tak, Image Count: 15
Model: OpenFace_euclidean_ssd_align_True_4, Target: deffcon, Image Count: 0
Model: OpenFace_euclidean_ssd_align_True_4, Target: park, Image Count: 2
Model: OpenFace_euclidean_ssd_align_True_4, Target: you, Image Count: 0
Model: OpenFace_euclidean_ssd_align_True_4, Target: tak, Image Count: 2
Model: FaceNet_euclidean_l2_retinaface_align_False_0, Target: deffcon, Image Count: 0
Model: FaceNet_euclidean_l2_retinaface_align_False_0, Target: park, Image Count: 0
Model: FaceNet_euclidean_l2_retinaface_align_False_0, Target: you, Image Count: 0
Model: FaceNet_euclidean_l2_retinaface_align_False_0, Target: tak, Image Count: 0
Model: ArcFace_euclidean_mediapipe_align_False_0, Target: deffcon, Image Count: 0
Model: ArcFace_euclidean_mediapipe_align_False_0, Target: park, Image Count: 0
Model: ArcFace_euclidean_mediapipe_align_False_0, Target: you, Image Count: 0
Model: ArcFace_euclidean_mediapipe_align_False_0, Target: tak, Image Count: 0
Model: OpenFace_euclidean_l2_mtcnn_align_True_11, Target: deffcon, Image Count: 0
Model: OpenFace_euclidean_l2_mtcnn_align_True_11, Target: park, Image Count: 4
Model: OpenFace_euclidean_l2_mtcnn_align_True_11, Target: you, Image Count: 2
Model: OpenFace_euclidean_l2_mtcnn_align_True_11, Target: tak, Image Count: 5
Model: SFace_euclidean_l2_dlib_align_True_52, Target: deffcon, Image Count: 8
Model: SFace_euclidean_l2_dlib_align_True_52, Target: park, Image Count: 16
Model: SFace_euclidean_l2_dlib_align_True_52, Target: you, Image Count: 10
Model: SFace_euclidean_l2_dlib_align_True_52, Target: tak, Image Count: 18
Model: ArcFace_cosine_mtcnn_align_False_37, Target: deffcon, Image Count: 9
Model: ArcFace_cosine_mtcnn_align_False_37, Target: park, Image Count: 8
Model: ArcFace_cosine_mtcnn_align_False_37, Target: you, Image Count: 17
Model: ArcFace_cosine_mtcnn_align_False_37, Target: tak, Image Count: 3
Model: ArcFace_euclidean_dlib_align_True_31, Target: deffcon, Image Count: 2
Model: ArcFace_euclidean_dlib_align_True_31, Target: park, Image Count: 4
Model: ArcFace_euclidean_dlib_align_True_31, Target: you, Image Count: 19
Model: ArcFace_euclidean_dlib_align_True_31, Target: tak, Image Count: 6
Model: FaceNet_euclidean_mtcnn_align_True_0, Target: deffcon, Image Count: 0
Model: FaceNet_euclidean_mtcnn_align_True_0, Target: park, Image Count: 0
Model: FaceNet_euclidean_mtcnn_align_True_0, Target: you, Image Count: 0
Model: FaceNet_euclidean_mtcnn_align_True_0, Target: tak, Image Count: 0
